protein,cluster,table,tissue
LOC_Os11g32890.1,Cluster_4,S2D_133mRNAs,embryo
LOC_Os01g12580.1,Cluster_4,S2D_133mRNAs,embryo
LOC_Os01g12660.1,Cluster_4,S2D_133mRNAs,embryo
LOC_Os03g06360.1,Cluster_4,S2D_133mRNAs,embryo
LOC_Os02g04780.1,Cluster_4,S2D_133mRNAs,embryo
LOC_Os01g02120.1,Cluster_4,S2D_133mRNAs,embryo
LOC_Os03g06180.1,Cluster_4,S2D_133mRNAs,embryo
LOC_Os04g40540.1,Cluster_4,S2D_133mRNAs,embryo
LOC_Os01g09570.1,Cluster_4,S2D_133mRNAs,embryo
LOC_Os12g05210.1,Cluster_4,S2D_133mRNAs,embryo
LOC_Os04g28420.1,Cluster_4,S2D_133mRNAs,embryo
LOC_Os01g57450.1,Cluster_4,S2D_133mRNAs,embryo
LOC_Os02g08490.1,Cluster_4,S2D_133mRNAs,embryo
LOC_Os02g06410.1,Cluster_4,S2D_133mRNAs,embryo
LOC_Os01g16920.1,Cluster_4,S2D_133mRNAs,embryo
LOC_Os04g36750.1,Cluster_4,S2D_133mRNAs,embryo
LOC_Os03g53620.1,Cluster_4,S2D_133mRNAs,embryo
LOC_Os04g05010.1,Cluster_4,S2D_133mRNAs,embryo
LOC_Os11g40530.1,Cluster_4,S2D_133mRNAs,embryo
LOC_Os09g08280.1,Cluster_4,S2D_133mRNAs,embryo
LOC_Os05g39250.1,Cluster_4,S2D_133mRNAs,embryo
LOC_Os11g37270.1,Cluster_4,S2D_133mRNAs,embryo
LOC_Os01g69080.1,Cluster_4,S2D_133mRNAs,embryo
LOC_Os03g57960.1,Cluster_4,S2D_133mRNAs,embryo
LOC_Os06g23350.1,Cluster_4,S2D_133mRNAs,embryo
LOC_Os10g09850.1,Cluster_4,S2D_133mRNAs,embryo
LOC_Os10g36180.1,Cluster_4,S2D_133mRNAs,embryo
LOC_Os03g11910.1,Cluster_4,S2D_133mRNAs,embryo
LOC_Os03g62590.1,Cluster_4,S2D_133mRNAs,embryo
LOC_Os04g35490.1,Cluster_4,S2D_133mRNAs,embryo
LOC_Os03g02260.1,Cluster_4,S2D_133mRNAs,embryo
LOC_Os04g01740.1,Cluster_4,S2D_133mRNAs,embryo
LOC_Os06g08280.1,Cluster_4,S2D_133mRNAs,embryo
LOC_Os05g44340.1,Cluster_4,S2D_133mRNAs,embryo
LOC_Os03g46100.1,Cluster_4,S2D_133mRNAs,embryo
LOC_Os01g54030.1,Cluster_4,S2D_133mRNAs,embryo
LOC_Os06g06560.1,Cluster_4,S2D_133mRNAs,embryo
LOC_Os05g48340.1,Cluster_4,S2D_133mRNAs,embryo
LOC_Os02g15250.1,Cluster_4,S2D_133mRNAs,embryo
LOC_Os01g61670.1,Cluster_4,S2D_133mRNAs,embryo
LOC_Os06g33710.2,Cluster_4,S2D_133mRNAs,embryo
LOC_Os03g13840.2,Cluster_4,S2D_133mRNAs,embryo
LOC_Os02g10310.1,Cluster_4,S2D_133mRNAs,embryo
LOC_Os07g48030.1,Cluster_5,S2D_133mRNAs,embryo
LOC_Os05g15770.1,Cluster_5,S2D_133mRNAs,embryo
LOC_Os11g06880.1,Cluster_5,S2D_133mRNAs,embryo
LOC_Os02g51620.1,Cluster_5,S2D_133mRNAs,embryo
LOC_Os02g55130.2,Cluster_5,S2D_133mRNAs,embryo
LOC_Os01g07370.1,Cluster_6,S2D_133mRNAs,embryo
LOC_Os01g13420.1,Cluster_6,S2D_133mRNAs,embryo
LOC_Os02g05880.1,Cluster_6,S2D_133mRNAs,embryo
LOC_Os02g42700.1,Cluster_6,S2D_133mRNAs,embryo
LOC_Os03g11570.1,Cluster_6,S2D_133mRNAs,embryo
LOC_Os03g20750.1,Cluster_6,S2D_133mRNAs,embryo
LOC_Os03g46390.1,Cluster_6,S2D_133mRNAs,embryo
LOC_Os04g59460.1,Cluster_6,S2D_133mRNAs,embryo
LOC_Os05g31140.1,Cluster_6,S2D_133mRNAs,embryo
LOC_Os06g21480.1,Cluster_6,S2D_133mRNAs,embryo
LOC_Os06g33520.1,Cluster_6,S2D_133mRNAs,embryo
LOC_Os07g47780.1,Cluster_6,S2D_133mRNAs,embryo
LOC_Os09g19790.1,Cluster_6,S2D_133mRNAs,embryo
LOC_Os09g39870.1,Cluster_6,S2D_133mRNAs,embryo
LOC_Os10g42320.1,Cluster_6,S2D_133mRNAs,embryo
LOC_Os12g36950.1,Cluster_6,S2D_133mRNAs,embryo
LOC_Os04g17100.1,Cluster_6,S2D_133mRNAs,embryo
LOC_Os11g06750.1,Cluster_6,S2D_133mRNAs,embryo
LOC_Os05g23620.1,Cluster_6,S2D_133mRNAs,embryo
LOC_Os03g11050.1,Cluster_6,S2D_133mRNAs,embryo
LOC_Os07g22600.1,Cluster_6,S2D_133mRNAs,embryo
LOC_Os01g03680.1,Cluster_6,S2D_133mRNAs,embryo
LOC_Os05g34150.1,Cluster_6,S2D_133mRNAs,embryo
LOC_Os08g01370.1,Cluster_6,S2D_133mRNAs,embryo
LOC_Os06g07160.1,Cluster_6,S2D_133mRNAs,embryo
