locus,protein,t_test,emb_protein_log2fc
LOC_Os01g42294,LOC_Os01g42294.1,0.42,-0.57
LOC_Os10g30580,LOC_Os10g30580.1,0.42,-0.36
LOC_Os11g32470,LOC_Os11g32470.1,0.42,0.53
LOC_Os03g26630,LOC_Os03g26630.1,0.42,0.24
LOC_Os03g49610,LOC_Os03g49610.1,0.42,-0.15
LOC_Os06g45660,LOC_Os06g45660.1,0.42,-0.48
LOC_Os03g08440,LOC_Os03g08440.1,0.42,-0.29
LOC_Os10g28120,LOC_Os10g28120.1,0.42,-0.54
LOC_Os06g30310,LOC_Os06g30310.1,0.42,-0.34
LOC_Os12g07230,LOC_Os12g07230.1,0.42,0.23
LOC_Os05g39390,LOC_Os05g39390.1,0.42,-0.27
LOC_Os12g32240,LOC_Os12g32240.1,0.42,0.33
LOC_Os08g02340,LOC_Os08g02340.1,0.42,0.2
LOC_Os03g48310,LOC_Os03g48310.1,0.42,-0.6
LOC_Os02g58090,LOC_Os02g58090.1,0.42,-0.37
LOC_Os08g41300,LOC_Os08g41300.1,0.42,0.57
LOC_Os01g31800,LOC_Os01g31800.1,0.42,0.21
LOC_Os10g30370,LOC_Os10g30370.1,0.42,-0.4
LOC_Os05g03830,LOC_Os05g03830.1,0.42,-0.42
LOC_Os03g59220,LOC_Os03g59220.1,0.43,0.59
LOC_Os06g04460,LOC_Os06g04460.1,0.43,-0.4
LOC_Os03g57430,LOC_Os03g57430.1,0.43,-0.49
LOC_Os09g07830,LOC_Os09g07830.1,0.43,0.41
LOC_Os01g26160,LOC_Os01g26160.1,0.43,0.64
LOC_Os03g22180,LOC_Os03g22180.1,0.43,0.46
LOC_Os10g36650,LOC_Os10g36650.1,0.43,-0.46
LOC_Os09g39780,LOC_Os09g39780.1,0.43,0.2
LOC_Os05g38170,LOC_Os05g38170.1,0.43,0.45
LOC_Os09g32500,LOC_Os09g32500.1,0.43,0.54
LOC_Os05g41210,LOC_Os05g41210.1,0.43,0.27
LOC_Os12g25710,LOC_Os12g25710.1,0.43,0.33
LOC_Os06g18670,LOC_Os06g18670.1,0.43,-0.27
LOC_Os01g64670,LOC_Os01g64670.1,0.43,-0.5
LOC_Os05g50710,LOC_Os05g50710.1,0.43,-0.49
LOC_Os05g02060,LOC_Os05g02060.1,0.44,-0.43
LOC_Os04g32660,LOC_Os04g32660.1,0.44,0.39
LOC_Os10g32970,LOC_Os10g32970.1,0.44,0.61
LOC_Os12g22030,LOC_Os12g22030.1,0.44,0.15
LOC_Os03g61710,LOC_Os03g61710.1,0.44,-0.43
LOC_Os02g56000,LOC_Os02g56000.1,0.44,0.44
LOC_Os04g32650,LOC_Os04g32650.1,0.44,0.3
LOC_Os06g39344,LOC_Os06g39344.1,0.44,0.4
LOC_Os01g32780,LOC_Os01g32780.1,0.44,-0.47
LOC_Os06g06770,LOC_Os06g06770.1,0.44,-0.2
LOC_Os10g35550,LOC_Os10g35550.1,0.44,0.4
LOC_Os09g04730,LOC_Os09g04730.1,0.44,-0.51
LOC_Os01g07520,LOC_Os01g07520.1,0.44,-0.3
LOC_Os02g01150,LOC_Os02g01150.1,0.44,0.41
LOC_Os04g57890,LOC_Os04g57890.1,0.44,0.41
LOC_Os10g39620,LOC_Os10g39620.1,0.45,0.28
LOC_Os09g12570,LOC_Os09g12570.1,0.45,0.47
LOC_Os03g26970,LOC_Os03g26970.1,0.45,-0.56
LOC_Os03g16030,LOC_Os03g16030.1,0.45,-0.4
LOC_Os02g04270,LOC_Os02g04270.1,0.45,0.37
LOC_Os05g01310,LOC_Os05g01310.1,0.45,0.16
LOC_Os10g35250,LOC_Os10g35250.1,0.45,-0.33
LOC_Os07g43890,LOC_Os07g43890.1,0.45,0.42
LOC_Os06g02380,LOC_Os06g02380.1,0.45,-0.15
LOC_Os06g11660,LOC_Os06g11660.1,0.45,-0.32
LOC_Os01g17430,LOC_Os01g17430.1,0.45,0.28
LOC_Os06g11812,LOC_Os06g11812.1,0.45,-0.31
LOC_Os08g03640,LOC_Os08g03640.1,0.45,-0.25
LOC_Os04g01590,LOC_Os04g01590.1,0.45,0.31
LOC_Os06g46740,LOC_Os06g46740.1,0.45,0.19
LOC_Os03g56300,LOC_Os03g56300.1,0.45,0.36
LOC_Os02g15740,LOC_Os02g15740.1,0.45,-0.33
LOC_Os08g19850,LOC_Os08g19850.1,0.45,-0.19
LOC_Os12g37720,LOC_Os12g37720.1,0.45,-0.34
LOC_Os02g53060,LOC_Os02g53060.1,0.46,0.28
LOC_Os08g44270,LOC_Os08g44270.1,0.46,-0.51
LOC_Os05g07050,LOC_Os05g07050.1,0.46,-0.55
LOC_Os10g10244,LOC_Os10g10244.1,0.46,-0.44
LOC_Os04g44920,LOC_Os04g44920.1,0.46,-0.36
LOC_Os01g63010,LOC_Os01g63010.1,0.46,-0.31
LOC_Os03g13970,LOC_Os03g13970.1,0.46,-0.17
LOC_Os04g48770,LOC_Os04g48770.2,0.46,0.42
LOC_Os05g28280,LOC_Os05g28280.1,0.46,0.26
LOC_Os01g72240,LOC_Os01g72240.1,0.46,0.22
LOC_Os06g45440,LOC_Os06g45440.1,0.46,0.47
LOC_Os08g20270,LOC_Os08g20270.1,0.46,0.39
LOC_Os01g48420,LOC_Os01g48420.1,0.46,-0.25
LOC_Os12g13390,LOC_Os12g13390.1,0.46,-0.26
LOC_Os07g46750,LOC_Os07g46750.1,0.46,0.43
LOC_Os02g18550,LOC_Os02g18550.1,0.46,0.56
LOC_Os02g56130,LOC_Os02g56130.1,0.46,-0.34
LOC_Os02g56740,LOC_Os02g56740.1,0.46,-0.5
LOC_Os05g02530,LOC_Os05g02530.1,0.46,0.32
LOC_Os03g60580,LOC_Os03g60580.1,0.46,0.2
LOC_Os06g01500,LOC_Os06g01500.1,0.46,-0.25
LOC_Os06g48750,LOC_Os06g48750.1,0.47,0.75
LOC_Os01g54920,LOC_Os01g54920.1,0.47,-0.29
LOC_Os03g31300,LOC_Os03g31300.1,0.47,-0.32
LOC_Os01g59930,LOC_Os01g59930.1,0.47,0.58
LOC_Os08g44250,LOC_Os08g44250.1,0.47,0.9
LOC_Os08g23360,LOC_Os08g23360.1,0.47,1.51
LOC_Os05g38530,LOC_Os05g38530.1,0.47,-0.28
LOC_Os03g52490,LOC_Os03g52490.1,0.47,-0.33
LOC_Os01g47730,LOC_Os01g47730.1,0.47,-0.36
LOC_Os04g40600,LOC_Os04g40600.1,0.47,-0.37
LOC_Os04g35900,LOC_Os04g35900.1,0.48,-0.14
LOC_Os06g11610,LOC_Os06g11610.1,0.48,-0.41
LOC_Os02g40880,LOC_Os02g40880.1,0.48,0.19
LOC_Os11g43970,LOC_Os11g43970.1,0.48,0.39
LOC_Os12g42884,LOC_Os12g42884.1,0.48,-0.19
LOC_Os10g36760,LOC_Os10g36760.1,0.48,0.23
LOC_Os03g07910,LOC_Os03g07910.1,0.48,-0.4
LOC_Os04g56520,LOC_Os04g56520.1,0.48,-0.34
LOC_Os02g10790,LOC_Os02g10790.1,0.48,0.49
LOC_Os01g71990,LOC_Os01g71990.1,0.49,0.29
LOC_Os09g07510,LOC_Os09g07510.1,0.49,-0.2
LOC_Os01g46600,LOC_Os01g46600.1,0.49,-0.44
LOC_Os06g37440,LOC_Os06g37440.1,0.49,0.27
LOC_Os06g51084,LOC_Os06g51084.1,0.49,-0.35
LOC_Os07g44650,LOC_Os07g44650.1,0.49,0.53
LOC_Os01g09560,LOC_Os01g09560.1,0.49,-0.43
LOC_Os02g48290,LOC_Os02g48290.1,0.49,0.21
LOC_Os01g15120,LOC_Os01g15120.1,0.49,0.38
LOC_Os11g43890,LOC_Os11g43890.1,0.49,-0.28
LOC_Os01g39310,LOC_Os01g39310.1,0.49,0.42
LOC_Os06g46284,LOC_Os06g46284.1,0.49,0.14
LOC_Os08g10600,LOC_Os08g10600.1,0.49,0.24
LOC_Os08g41390,LOC_Os08g41390.1,0.49,-0.18
LOC_Os03g14450,LOC_Os03g14450.1,0.49,0.13
