locus,protein,t_test,emb_protein_log2fc
LOC_Os09g32800,LOC_Os09g32800.1,0.59,0.33
LOC_Os03g63410,LOC_Os03g63410.1,0.59,0.23
LOC_Os06g04270,LOC_Os06g04270.1,0.59,0.24
LOC_Os03g60939,LOC_Os03g60939.1,0.59,0.28
LOC_Os01g64090,LOC_Os01g64090.1,0.59,0.29
LOC_Os08g37490,LOC_Os08g37490.1,0.59,-0.35
LOC_Os01g47410,LOC_Os01g47410.1,0.6,-0.29
LOC_Os03g32314,LOC_Os03g32314.1,0.6,0.18
LOC_Os12g35360,LOC_Os12g35360.1,0.6,-0.31
LOC_Os05g33100,LOC_Os05g33100.1,0.6,-0.23
LOC_Os08g04280,LOC_Os08g04280.2,0.6,0.32
LOC_Os05g41440,LOC_Os05g41440.1,0.6,0.19
LOC_Os04g44560,LOC_Os04g44560.1,0.6,-0.28
LOC_Os04g53670,LOC_Os04g53670.1,0.6,0.17
LOC_Os03g63940,LOC_Os03g63940.1,0.6,0.23
LOC_Os09g26730,LOC_Os09g26730.1,0.6,0.25
LOC_Os01g49290,LOC_Os01g49290.1,0.6,-0.11
LOC_Os06g01630,LOC_Os06g01630.3,0.6,-0.33
LOC_Os01g09000,LOC_Os01g09000.1,0.6,0.39
LOC_Os03g60620,LOC_Os03g60620.1,0.6,-0.24
LOC_Os04g32070,LOC_Os04g32070.1,0.6,-0.13
LOC_Os01g69250,LOC_Os01g69250.1,0.6,0.28
LOC_Os07g46370,LOC_Os07g46370.1,0.6,0.15
LOC_Os03g37270,LOC_Os03g37270.1,0.61,0.3
LOC_Os12g25700,LOC_Os12g25700.1,0.61,0.25
LOC_Os05g25640,LOC_Os05g25640.1,0.61,0.27
LOC_Os04g34100,LOC_Os04g34100.1,0.61,-0.14
LOC_Os06g10430,LOC_Os06g10430.3,0.61,0.18
LOC_Os06g17840,LOC_Os06g17840.1,0.61,-0.27
LOC_Os02g42320,LOC_Os02g42320.1,0.61,0.32
LOC_Os01g73880,LOC_Os01g73880.1,0.61,0.25
LOC_Os05g51220,LOC_Os05g51220.1,0.61,-0.22
LOC_Os01g37960,LOC_Os01g37960.1,0.61,0.23
LOC_Os01g11230,LOC_Os01g11230.1,0.61,0.28
LOC_Os10g13800,LOC_Os10g13800.1,0.61,-0.18
LOC_Os05g38400,LOC_Os05g38400.1,0.61,0.38
LOC_Os03g22340,LOC_Os03g22340.1,0.61,0.3
LOC_Os03g61630,LOC_Os03g61630.1,0.61,0.19
LOC_Os07g07550,LOC_Os07g07550.1,0.61,0.24
